team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Buccaneers,TB,5,TE,554174537,DeAngelo Golston,1,0,3347,88,14,48.00,32,94.64,2,24,3,137,360,4.28,11.25,22.01
Buccaneers,TB,5,WR,554173001,Broderick Payne,2,6,3770,8,17,196.10,73,99.26,1,78,14,508,1410,6.96,19.32,81.23
Buccaneers,TB,5,WR,554173547,Bryce Samuels,2,0,3758,83,4,6.10,4,100.00,0,39,1,35,77,8.75,19.25,3.34
Buccaneers,TB,5,HB,554174592,Demetrius Allen,3,0,3846,24,1,0.50,1,100.00,0,5,0,0,5,0.00,5.00,2.50
Buccaneers,TB,5,WR,554173390,Forrest Johnson,3,0,3942,87,16,117.70,57,100.00,0,52,5,296,877,5.19,15.39,57.27
Buccaneers,TB,5,HB,554174367,Keaton Mitchell,4,0,0,38,3,3.10,7,100.00,0,10,0,28,31,4.00,4.43,3.88
Buccaneers,TB,5,WR,554174579,Trey Palmer,4,0,2608,10,16,138.30,45,95.83,2,80,10,383,957,8.51,21.27,48.16
Buccaneers,TB,5,TE,554174536,Albert Okwuegbunam,7,0,490,81,1,0.90,1,100.00,0,9,0,2,9,2.00,9.00,0.75
Buccaneers,TB,5,TE,554174995,Irv Smith Jr,8,0,9633,89,4,3.10,5,87.50,1,16,0,22,52,4.40,10.40,2.01
Buccaneers,TB,5,WR,554173434,Chris Godwin,10,0,8567,14,1,2.20,3,100.00,0,11,0,12,22,4.00,7.33,22.00
Cardinals,ARI,6,TE,554174610,George Arellanes,1,0,3942,83,11,54.20,31,84.96,8,45,3,79,505,2.55,16.29,70.25
Cardinals,ARI,6,FB,554175057,Erick Coleman,2,0,3667,40,6,7.10,5,83.33,1,19,1,10,29,2.00,5.80,4.19
Cardinals,ARI,6,HB,554173367,Brandon Mabry,3,0,4080,26,3,10.30,8,100.00,0,12,2,25,51,3.12,6.38,2.99
Cardinals,ARI,6,WR,554173546,Dexter Whitlock,3,0,3704,80,16,143.40,60,99.31,1,55,10,334,947,5.57,15.78,51.69
Cardinals,ARI,6,HB,554174572,Eric Richard,3,0,3807,39,10,36.10,28,96.67,1,13,0,103,149,3.68,5.32,13.18
Cardinals,ARI,6,TE,554173180,Payne Durham,3,0,2129,82,1,2.80,1,100.00,0,28,0,4,28,4.00,28.00,7.00
Cardinals,ARI,6,TE,554173655,Elijah Higgins,4,0,2209,84,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,WR,554174216,Terrace Marshall Jr,5,0,1081,88,2,8.20,1,50.00,1,22,1,0,22,0.00,22.00,2.00
Cardinals,ARI,6,WR,554174400,Rondale Moore,6,0,1264,4,17,74.70,60,92.16,4,35,2,224,709,3.73,11.82,32.28
Cardinals,ARI,6,HB,554174676,Tony Pollard,7,0,9600,20,11,64.10,27,95.45,1,53,4,170,325,6.30,12.04,27.76
Cardinals,ARI,6,TE,554174904,Dalton Schultz,8,0,9050,87,13,74.80,49,96.15,3,45,2,190,686,3.88,14.00,41.28
Cardinals,ARI,6,WR,554172768,Marquise Brown,8,0,9402,2,17,129.50,45,85.92,4,77,7,249,872,5.53,19.38,38.93
Chargers,LAC,7,WR,554175261,Antoine O'Neal,1,0,3846,2,17,165.10,89,92.99,6,80,13,522,1369,5.87,15.38,90.24
Chargers,LAC,7,WR,554175420,Dorian Kirkpatrick,1,0,4063,13,14,65.20,31,94.05,2,69,2,154,532,4.97,17.16,35.06
Chargers,LAC,7,TE,554174799,Kerry Wilkerson,1,0,4222,83,2,3.00,3,100.00,0,18,0,11,32,3.67,10.67,3.67
Chargers,LAC,7,HB,554172633,Phillip Bryan,1,0,3410,19,1,1.20,1,100.00,0,12,0,15,12,15.00,12.00,1.09
Chargers,LAC,7,WR,554173556,Marc Manuel,2,0,4066,0,16,249.60,90,94.58,6,73,20,496,1689,5.51,18.77,103.60
Chargers,LAC,7,HB,554173848,Steve Burrough,2,0,3358,20,14,42.10,36,97.62,1,35,1,196,338,5.44,9.39,27.00
Chargers,LAC,7,TE,554174757,Russell Hannah,3,0,3380,87,16,73.20,69,92.23,5,46,1,275,880,3.99,12.75,45.76
Chargers,LAC,7,WR,554173916,Quentin Johnston,4,0,2241,1,3,4.10,4,100.00,0,19,0,23,41,5.75,10.25,7.83
Chargers,LAC,7,WR,554173469,Danny Gray,5,0,1741,80,3,0.90,3,100.00,0,14,0,3,23,1.00,7.67,3.00
